% Model:              Xsource_ver8.mph
% Version:            COMSOL 4.3.2.189
% Date:               Jan 19 2015, 15:04
% Dimension:          1
% Nodes:              1000
% Expressions:        1
% Description:        Line graph
% E                       Height
4.1981981981981983E9      4.193537840174978E-7
4.207207207207207E9       4.353984993969887E-7
4.216216216216216E9       4.5198870126343107E-7
4.2252252252252254E9      4.691405038201943E-7
4.2342342342342343E9      4.86870420928397E-7
4.243243243243243E9       5.051953739453482E-7
4.252252252252252E9       5.241326996695172E-7
4.2612612612612615E9      5.43700158392647E-7
4.2702702702702703E9      5.639159420595425E-7
4.279279279279279E9       5.847986825361401E-7
4.288288288288288E9       6.06367459986387E-7
4.2972972972972975E9      6.286418113584784E-7
4.306306306306307E9       6.516417389810036E-7
4.315315315315315E9       6.753877192695108E-7
4.324324324324324E9       6.999007115440086E-7
4.333333333333334E9       7.252021669579281E-7
4.342342342342342E9       7.513140375389796E-7
4.351351351351351E9       7.782587853424983E-7
4.36036036036036E9        8.060593917176332E-7
4.3693693693693695E9      8.347393666869187E-7
4.378378378378378E9       8.643227584396487E-7
4.387387387387387E9       8.948341629395237E-7
4.396396396396397E9       9.262987336469468E-7
4.405405405405405E9       9.587421913564517E-7
4.414414414414414E9       9.92190834149638E-7
4.423423423423424E9       1.0266715474639952E-6
4.432432432432432E9       1.0622118142780268E-6
4.441441441441442E9       1.0988397254130643E-6
4.450450450450451E9       1.1365839899520734E-6
4.459459459459459E9       1.1754739457758388E-6
4.468468468468469E9       1.2155395702169512E-6
4.477477477477478E9       1.2568114908316802E-6
4.486486486486486E9       1.2993209962903702E-6
4.495495495495495E9       1.343100047386413E-6
4.504504504504505E9       1.3881812881641948E-6
4.513513513513514E9       1.4345980571662622E-6
4.522522522522522E9       1.4823843988000556E-6
4.531531531531531E9       1.5315750748243239E-6
4.540540540540541E9       1.5822055759555775E-6
4.549549549549549E9       1.6343121335947734E-6
4.558558558558558E9       1.6879317316744783E-6
4.567567567567568E9       1.7431021186266283E-6
4.576576576576576E9       1.7998618194711924E-6
4.585585585585586E9       1.8582501480258678E-6
4.594594594594595E9       1.9183072192369477E-6
4.603603603603603E9       1.9800739616315852E-6
4.612612612612613E9       2.0435921298915525E-6
4.621621621621622E9       2.1089043175486035E-6
4.6306306306306305E9      2.1760539698016464E-6
4.63963963963964E9        2.2450853964557586E-6
4.648648648648649E9       2.3160437849831252E-6
4.657657657657658E9       2.388975213706065E-6
4.666666666666666E9       2.463926665102149E-6
4.675675675675676E9       2.540946039231479E-6
4.684684684684685E9       2.6200821672861124E-6
4.693693693693693E9       2.701384825261871E-6
4.7027027027027025E9      2.7849047477522684E-6
4.711711711711712E9       2.870693641864743E-6
4.72072072072072E9        2.9588042012591496E-6
4.72972972972973E9        3.0492901203085444E-6
4.738738738738739E9       3.1422061083820257E-6
4.747747747747747E9       3.2376079042498667E-6
4.756756756756757E9       3.3355522906107076E-6
4.765765765765766E9       3.4360971087407584E-6
4.774774774774775E9       3.539301273264931E-6
4.783783783783784E9       3.6452247870499094E-6
4.792792792792793E9       3.7539287562188507E-6
4.801801801801802E9       3.8654754052877635E-6
4.810810810810811E9       3.979928092423438E-6
4.81981981981982E9        4.097351324822537E-6
4.828828828828829E9       4.217810774212062E-6
4.837837837837837E9       4.341373292470745E-6
4.846846846846848E9       4.468106927371379E-6
4.855855855855856E9       4.598080938443399E-6
4.864864864864864E9       4.731365812956511E-6
4.873873873873874E9       4.868033282024096E-6
4.882882882882883E9       5.008156336826564E-6
4.8918918918918915E9      5.151809244954722E-6
4.900900900900901E9       5.29906756687243E-6
4.90990990990991E9        5.450008172498468E-6
4.918918918918919E9       5.604709257907351E-6
4.927927927927928E9       5.763250362148892E-6
4.936936936936937E9       5.925712384185837E-6
4.945945945945946E9       6.092177599949772E-6
4.954954954954955E9       6.262729679514596E-6
4.963963963963964E9       6.437453704387308E-6
4.972972972972973E9       6.61643618491584E-6
4.981981981981981E9       6.799765077813516E-6
4.990990990990992E9       6.98752980379987E-6
5.0E9                     7.179821265356883E-6
5.009009009009008E9       7.376731864601448E-6
5.018018018018019E9       7.578355521272214E-6
5.027027027027027E9       7.784787690831291E-6
5.036036036036036E9       7.996125382680383E-6
5.045045045045045E9       8.212467178490455E-6
5.054054054054054E9       8.433913250644602E-6
5.063063063063063E9       8.660565380794065E-6
5.072072072072072E9       8.892526978526506E-6
5.081081081081081E9       9.12990310014601E-6
5.09009009009009E9        9.372800467564646E-6
5.099099099099099E9       9.62132748730492E-6
5.1081081081081085E9      9.875594269612411E-6
5.117117117117117E9       1.0135712647678408E-5
5.126126126126126E9       1.040179619697186E-5
5.135135135135136E9       1.067396025467982E-5
5.144144144144144E9       1.0952321939256306E-5
5.153153153153152E9       1.1237000170078745E-5
5.162162162162163E9       1.1528115687211464E-5
5.171171171171171E9       1.1825791071275176E-5
5.18018018018018E9        1.2130150763423268E-5
5.189189189189189E9       1.2441321085422373E-5
5.198198198198198E9       1.2759430259837859E-5
5.207207207207207E9       1.3084608430323561E-5
5.216216216216216E9       1.3416987682014652E-5
5.225225225225225E9       1.3756702062023038E-5
5.234234234234234E9       1.4103887600035053E-5
5.243243243243243E9       1.4458682329010506E-5
5.252252252252253E9       1.4821226305982232E-5
5.261261261261261E9       1.5191661632955765E-5
5.27027027027027E9        1.5570132477908606E-5
5.27927927927928E9        1.5956785095887414E-5
5.288288288288288E9       1.635176785020382E-5
5.2972972972972975E9      1.6755231233727127E-5
5.306306306306306E9       1.7167327890273347E-5
5.315315315315315E9       1.7588212636090276E-5
5.324324324324325E9       1.8018042481437157E-5
5.333333333333333E9       1.845697665225894E-5
5.342342342342342E9       1.8905176611953905E-5
5.351351351351352E9       1.93628060832337E-5
